0201011,1633
0201022,52
0201032,20
0201043,86
0201044,265
0201045,68
0201052,17
0201062,78
0202011,815
0202021,1638
0202033,146
0202034,396
0202035,50
0202041,304
0202052,64
0202062,60
0202073,75
0202074,148
0202075,48
0203011,1883
0203022,81
0203032,84
0203042,35
0203052,34
0203062,51
0204013,74
0204014,848
0204015,32
0204022,24
0204032,32
0204043,36
0204044,817
0204045,23
0205011,1195
0205023,68
0205024,640
0205025,37
0205032,34
0205042,56
0205052,40
0205062,44
0206011,118
0206021,285
0206031,141
0206041,88
0206052,74
0206062,80
0206072,115
0206082,100
0206092,48
0207011,1030
0207022,57
0207033,78
0207034,265
0207035,42
0207042,55
0208011,198
0208021,1064
0208031,288
0208041,584
0208051,362
0208063,55
0208064,920
0208065,27
0208072,67
0208083,69
0208084,269
0208085,27
0208092,37
0208103,38
0208104,175
0208105,26
0208112,82
0208123,64
0208124,160
0208125,53
0208133,51
0208134,2360
0208135,13
0208143,54
0208144,63
0208145,41
0209011,2488
0209022,41
0209032,49
0209042,77
0209052,61
0209062,79
0209073,72
0209074,361
0209075,41
0209082,35
0210011,1286
0210021,193
0210033,95
0210034,513
0210035,58
0210042,46
0210053,137
0210054,213
0210055,80
0210062,34
0210072,91
0211011,1759
0211022,57
0211032,36
0211043,60
0211044,408
0211045,29
0212013,143
0212014,982
0212015,51
0212023,47
0212024,247
0212025,34
0212033,72
0212034,526
0212035,38
0212043,45
0212044,258
0212045,27
0212053,49
0212054,239
0212055,32
0213012,46
0213022,45
0213033,55
0213034,830
0213035,30
0214011,1764
0214023,67
0214024,575
0214025,37
0214032,52
0214042,43
0214053,58
0214054,365
0214055,34
0214062,58
0214073,116
0214074,606
0214075,51
0214083,77
0214084,796
0214085,39
0215011,1209
0215022,54
0215033,139
0215034,917
0215035,51
0215042,65
0216013,57
0216014,864
0216015,23
0216022,52
0216032,45
0216043,165
0216044,945
0216045,37
0216053,77
0216054,985
0216055,22
0216062,58
0217012,53
0217022,43
0217032,42
0217043,128
0217044,1198
0217045,60
0217053,50
0217054,240
0217055,37
0218012,49
0218022,112
0218032,98
0218043,92
0218044,640
0218045,51
0218052,45
0219011,2584
0219021,744
0219032,60
0219043,152
0219044,1179
0219045,81
0219052,68
0219063,176
